Std_Feature,CIC2017_Mean,CIC2018_Mean,Lycos_Mean,CIC2017_Std,CIC2018_Std,Lycos_Std,Shift_2018 (Z-score),Shift_Lycos (Z-score)
SYN Flag Count,0.0464464629957576,,,0.2104500052666412,,,,
Source Port,41128.85587282208,,,22294.93774558575,,,,
Subflow Bwd Bytes,16162.302467938627,,,2263057.2835084787,,,,
Subflow Bwd Byts,,4730.908947872237,,,234455.5665107617,,,
Subflow Bwd Packets,10.393770116185044,,,997.388268905092,,,,
Subflow Bwd Pkts,,6.312705835288154,,,164.02563869552773,,,
Subflow Fwd Bytes,549.2919360747337,,,9980.070243937706,,,,
Subflow Fwd Byts,,973.03725646052,,,62169.05858702681,,,
Subflow Fwd Packets,9.361159949878884,,,749.6727924980048,,,,
Subflow Fwd Pkts,,23.533190931551967,,,1521.1368121348744,,,
TotLen Bwd Pkts,,4730.931423710415,,,234465.8562450878,,,
TotLen Fwd Pkts,,973.03725646052,,,62169.05858702681,,,
Total Length of Bwd Packets,16162.64254649751,,,2263088.051725944,,,,
Total Length of Fwd Packets,549.3024145957439,,,9993.589229393498,,,,
URG Flag Cnt,,0.0417130153170623,,,0.1999325939727815,,,
URG Flag Count,0.0948231612689672,,,0.2929705781767338,,,,
act_data_pkt_fwd,5.418217761202624,,,636.4256638996873,,,,
active_max,,,126346.64149931182,,,1244048.0412050784,,
active_mean,,,76043.90447096138,,,1010089.999446876,,
active_min,,,56254.258533322114,,,959503.168118438,,
active_std,,,33159.39362448479,,,401899.596376692,,
bwd_bulk_bytes_mean,,,1450.7558527021868,,,120743.80454417368,,
bwd_bulk_pkt_mean,,,1.0760753561436385,,,83.88214008463609,,
bwd_bulk_rate_mean,,,14513404.855783427,,,162284351.06643647,,
bwd_flag_psh,,,1.964144665052207,,,11.121095788801563,,
bwd_flag_urg,,,0.0,,,0.0,,
bwd_iat_max,,,3239182.0050310167,,,11508793.019581778,,
bwd_iat_mean,,,1091238.59616855,,,5427980.789776074,,
bwd_iat_min,,,458831.0012631409,,,4961338.397173725,,
bwd_iat_std,,,1010361.2265087722,,,3674625.9985066666,,
bwd_iat_tot,,,9128641.09519929,,,28116664.93957369,,
bwd_non_empty_pkt_cnt,,,5.4621751615701335,,,173.2937041689126,,
bwd_pkt_hdr_len_min,,,17.333972865040696,,,9.164356444282513,,
bwd_pkt_hdr_len_tot,,,169.6909346891756,,,3468.2927341367977,,
bwd_pkt_len_max,,,1268.0297922734403,,,6680.030818002698,,
bwd_pkt_len_mean,,,250.67932938670796,,,806.9199170912499,,
bwd_pkt_len_min,,,0.7532921713313917,,,12.409857369856905,,
bwd_pkt_len_std,,,471.8725825935483,,,2295.975108406074,,
bwd_pkt_len_tot,,,6121.497519002623,,,247550.19798212877,,
bwd_pkt_per_s,,,12246.937505712562,,,93086.51123057534,,
bwd_subflow_bytes_mean,,,2151.587677740047,,,72487.86597386304,,
bwd_subflow_pkt_mean,,,3.757140801784612,,,50.7454190628688,,
bwd_tcp_init_win_bytes,,,20944.35492943385,,,22265.72984570724,,
bytes_per_s,,,142278.3087853006,,,1836415.3667291424,,
down_up_ratio,,,0.9649331786624146,,,0.427124350418903,,
dst_port,,,1048.7526352562816,,,3578.863524292995,,
flag_SYN,,,1.2926406085981226,,,1.016194674244811,,
flag_ack,,,12.319680762950515,,,224.56844943125776,,
flag_cwr,,,0.3188652796804503,,,0.50758505145771,,
flag_ece,,,0.3985503753195102,,,0.6607140817340101,,
flag_fin,,,0.450601069236246,,,0.497553779727356,,
flag_psh,,,3.96992667151063,,,13.124199545307189,,
flag_rst,,,0.1763751173375614,,,0.3811390112962883,,
flag_urg,,,0.0,,,0.0,,
fwd_bulk_bytes_mean,,,1275.2796944622712,,,135745.06935210928,,
fwd_bulk_pkt_mean,,,20.469205904553032,,,1612.5467980332078,,
fwd_bulk_rate_mean,,,41266.47325322848,,,3806222.2455862486,,
fwd_flag_psh,,,2.005782006458423,,,4.313820432222796,,
fwd_flag_urg,,,0.0,,,0.0,,
fwd_iat_max,,,3418744.581823174,,,11910348.766590372,,
fwd_iat_mean,,,893060.7011092792,,,3617171.073385483,,
fwd_iat_min,,,124925.93107891834,,,2580904.5537466044,,
fwd_iat_std,,,1273755.4701817993,,,4564432.650174212,,
fwd_iat_tot,,,9492600.388656331,,,28824305.50075394,,
fwd_non_empty_pkt_cnt,,,23.3936414801025,,,1623.0930714697763,,
fwd_pkt_hdr_len_min,,,18.76642455614776,,,8.569797921435073,,
fwd_pkt_hdr_len_tot,,,296.7338210018239,,,13070.841682773003,,
fwd_pkt_len_max,,,940.8801475509792,,,6706.9823619362405,,
fwd_pkt_len_mean,,,185.07859078296968,,,1456.0819982202274,,
fwd_pkt_len_min,,,13.016816703902078,,,45.959118829640936,,
fwd_pkt_len_std,,,330.6086805671696,,,2381.786084702406,,
fwd_pkt_len_tot,,,5144.184270952844,,,155034.8395327435,,
fwd_pkt_per_s,,,12632.938658486622,,,95649.64233205716,,
fwd_subflow_bytes_mean,,,1740.6999240966795,,,118415.15411023844,,
fwd_subflow_pkt_mean,,,24.014577646423987,,,1612.5914100774996,,
fwd_tcp_init_win_bytes,,,13683.70475846357,,,18655.598832832507,,
iat_max,,,3606430.3442394086,,,12078973.470135445,,
iat_mean,,,512602.93533544417,,,2149868.39107053,,
iat_min,,,31451.765509666453,,,1178209.1987486284,,
iat_std,,,1107095.4371515648,,,3841120.340201469,,
idle_max,,,3082164.151296213,,,11742093.275681846,,
idle_mean,,,2975714.292969327,,,11416010.57494242,,
idle_min,,,2850188.961743208,,,11234691.929021502,,
idle_std,,,127985.88003771528,,,1567489.9139027218,,
ip_prot,,,9.17006963854626,,,4.998550399672884,,
min_seg_size_forward,-2741.687868520738,,,1084989.383816989,,,,
pkt_len_max,,,1961.5993216260172,,,9387.167843821257,,
pkt_len_min,,,13.712862460949562,,,40.11948673057367,,
pkt_len_var,,,5090403.981250632,,,39852710.78695623,,
pkt_per_s,,,24879.876164208028,,,180850.22740882717,,
